序号,基金,停牌股占比,股票占比,停牌股在股票中占比
6189,http://fund.eastmoney.com/502016.html,4.92,93.74999999999999,5.192612137203167
6190,http://fund.eastmoney.com/502017.html,4.92,93.74999999999999,5.192612137203167
6191,http://fund.eastmoney.com/502018.html,4.92,93.74999999999999,5.192612137203167
6192,http://fund.eastmoney.com/502020.html,1.7599999999999998,91.71,1.898392837881566
6193,http://fund.eastmoney.com/502021.html,1.7599999999999998,91.71,1.898392837881566
6194,http://fund.eastmoney.com/502022.html,1.7599999999999998,91.71,1.898392837881566
6195,http://fund.eastmoney.com/502023.html,9.51,94.11000000000003,9.998948585847963
6196,http://fund.eastmoney.com/502024.html,9.51,94.11000000000003,9.998948585847963
6197,http://fund.eastmoney.com/502025.html,9.51,94.11000000000003,9.998948585847963
6198,http://fund.eastmoney.com/502026.html,2.5,95.24999999999997,2.5974025974025983
